id;latitude;longitude
rocquigny-02;50.0333;3.98333
mortiers-02;49.6833;3.66667
rozoy-sur-serre;49.7167;4.13333
malzy;49.9;3.73333
bellenglise;49.9167;3.25
cerny-en-laonnois;49.45;3.66667
montloue;49.6667;4.06667
sainte-genevieve-02;49.7195;4.07139
neuve-maison;49.9333;4.03333
bezu-saint-germain;49.1;3.4
etreaupont;49.9;3.91667
berthenicourt;49.7667;3.38333
thiernu;49.75;3.8
laigny;49.85;3.86667
aisonville-et-bernoville;49.9333;3.53333
crouy;49.4;3.36667
hirson;49.9167;4.08333
bagneux-02;49.4667;3.28333
autremencourt;49.7;3.8
celle-sous-montmirail;48.8648;3.46611
conde-sur-aisne;49.4;3.45
blerancourt;49.5167;3.15
monthurel;49.0167;3.55
petit-verly;49.9667;3.55
soize-02;49.7;4.08333
saconin-et-breuil;49.3667;3.25
largny-sur-automne;49.2667;3.05
sommeron;49.95;3.95
veslud;49.5333;3.73333
liesse-notre-dame;49.6095;3.80445
chaudun;49.3167;3.26667
vuillery;49.4333;3.38333
omissy;49.8833;3.31667
pavant;48.95;3.28333
missy-sur-aisne;49.3833;3.43333
cugny;49.7;3.15
parfondru;49.5333;3.71667
coingt;49.7833;4.08333
fonsomme;49.9;3.4
dury-02;49.7506;3.12889
royaucourt-et-chailvet;49.5167;3.53333
